Date,Open,High,Low,Close,Adj Close,Volume,Moving Average,RSI
2024-03-22,48.880001,51.000000,45.340000,46.000000,46.000000,15936700,46.0
2024-03-25,47.090000,61.939999,46.080002,59.799999,59.799999,24398800,56.97
2024-03-26,67.709999,74.900002,63.209999,65.110001,65.110001,35331000,55.596
2024-03-27,63.759998,63.759998,55.619999,57.750000,57.750000,18758300,53.48571457142857
2024-03-28,54.520000,55.299999,49.099998,49.320000,49.320000,12608100,51.907778111111114
2024-04-01,48.950001,49.279999,44.395000,45.970001,45.970001,12987900,50.98909145454545
2024-04-02,45.055000,51.349998,44.000000,50.450001,50.450001,9442900,49.288182454545456
2024-04-03,49.700001,51.240002,46.549999,46.990002,46.990002,4822900,46.010000454545455
2024-04-04,46.700001,48.430000,45.099998,45.779999,45.779999,4618400,44.723636636363636
2024-04-05,45.680000,48.290001,44.680000,47.560001,47.560001,2927000,43.21909081818182
2024-04-08,47.860001,49.180000,45.040001,46.150002,46.150002,2661500,42.27181827272727,50.729339368880204
2024-04-09,46.400002,47.490002,44.900002,45.000000,45.000000,2277300,41.800909181818184,19.75583809331961
2024-04-10,44.000000,44.598000,41.720001,42.090000,42.090000,4350100,41.833636545454546,21.04019784383135
2024-04-11,42.049999,46.349998,42.009998,44.529999,44.529999,4263000,41.91545481818182,43.550052930845624
2024-04-12,43.470001,43.860001,42.160000,42.270000,42.270000,2013400,41.91545481818182,23.99212625291308
2024-04-15,41.939999,42.099998,39.680000,40.000000,40.000000,3448500,41.91545481818182,22.121477787851276
2024-04-16,40.500000,42.139999,39.320000,41.139999,41.139999,1699000,41.91545481818182,32.486379079776526
2024-04-17,40.400002,40.605000,38.700001,39.169998,39.169998,2153800,41.91545481818182,35.515860221400814
2024-04-18,38.799999,42.130001,37.349998,41.720001,41.720001,2284100,41.91545481818182,36.21198504180866
2024-04-19,40.570000,43.830002,40.169998,40.880001,40.880001,2528100,41.91545481818182,42.07526496855246
2024-04-22,40.880001,42.570000,40.509998,42.040001,42.040001,1486400,42.08888922222222,63.31592820525001
2024-04-23,42.070000,44.060001,41.821999,42.820000,42.820000,1956500,42.64142942857143,61.50685143554047
2024-04-24,42.660000,43.970001,42.450001,43.150002,43.150002,1384000,43.1780008,85.159021089031
2024-04-25,41.639999,42.639999,40.849998,42.450001,42.450001,1485800,43.67666766666667,59.58004746454196
2024-04-26,42.980000,46.199001,42.650002,45.430000,45.430000,2751600,45.43,88.23527928818835
